run,t,KE,PE,E,dE_rel
dt200,2.82744,4.995190734092193e-07,-9.99518954799107e-07,-4.999998813898878e-07,2.3572040346879314e-07
dt200,2.98452,4.995100443882324e-07,-9.99509923554579e-07,-4.999998791663465e-07,2.4016748590250037e-07
dt200,3.1416,4.99507003416373e-07,-9.995068818338584e-07,-4.999998784174855e-07,2.416652080797741e-07
dt200,3.29868,4.995100251423924e-07,-9.99509904304e-07,-4.999998791616076e-07,2.4017696377767786e-07
dt200,3.4557599999999997,4.995190353899889e-07,-9.995189167705136e-07,-4.999998813805248e-07,2.3573912946146089e-07
dt200,3.61284,4.995338129628039e-07,-9.995336979828022e-07,-4.999998850199983e-07,2.2846018231150004e-07
dt200,3.76992,4.995539950285463e-07,-9.99553885019578e-07,-4.999998899910316e-07,2.1851811571401594e-07
dt200,3.927,4.995790859556847e-07,-9.995789821276893e-07,-4.999998961720046e-07,2.0615616979149584e-07
dt200,4.08408,4.996084693945179e-07,-9.996083728061103e-07,-4.999999034115923e-07,1.9167699428688705e-07
dt200,4.24116,4.996414233170089e-07,-9.996413348494169e-07,-4.999999115324079e-07,1.754353630214485e-07
dt200,4.3982399999999995,4.99677137658219e-07,-9.99677057993507e-07,-4.99999920335288e-07,1.578296027683446e-07
dt200,4.55532,4.997147341381639e-07,-9.997146637422834e-07,-4.999999296041195e-07,1.3929193982988915e-07
dt200,4.7124,4.997532877879741e-07,-9.997532268990743e-07,-4.999999391111002e-07,1.20277978406017e-07
dt200,4.86948,4.997918496598609e-07,-9.997917982821728e-07,-4.999999486223118e-07,1.0125555512298907e-07
dt200,5.02656,4.998294701679096e-07,-9.99829428071371e-07,-4.999999579034614e-07,8.269325601946754e-08
dt200,5.18364,4.998652224872217e-07,-9.998651892128856e-07,-4.999999667256639e-07,6.504885094687839e-08
dt200,5.34072,4.998982254333342e-07,-9.998982003044499e-07,-4.999999748711157e-07,4.875794735130769e-08
dt200,5.4978,4.999276652526382e-07,-9.999276473911539e-07,-4.999999821385156e-07,3.4223147404727515e-08
dt200,5.65488,4.999528157779401e-07,-9.99952804126035e-07,-4.999999883480949e-07,2.1803988853457544e-08
dt200,5.81196,4.999730564410533e-07,-9.999730497871807e-07,-4.999999933461274e-07,1.1807923905505e-08
dt200,5.96904,4.999878876857538e-07,-9.9998788469455e-07,-4.999999970087961e-07,4.482586455019351e-09
dt200,6.12612,4.999969433883985e-07,-9.999969426337175e-07,-4.99999999245319e-07,9.540555615707941e-12
dt200,6.2832,4.999999999684539e-07,-9.999999999686966e-07,-5.000000000002427e-07,1.5003066865578979e-09
dt500,0.12566,4.999996887445873e-07,-9.999996887325485e-07,-4.999999999879612e-07,0.0
dt500,0.25132,4.999987598911619e-07,-9.9999875984245e-07,-4.999999999512882e-07,7.334606521217355e-11
dt500,0.37698000000000004,4.999972280930806e-07,-9.999972279838903e-07,-4.999999998908097e-07,1.9430300535771044e-10
dt500,0.50264,4.999951175164838e-07,-9.99995117323965e-07,-4.999999998074812e-07,3.609599141075589e-10
dt500,0.6283000000000001,4.999924614577848e-07,-9.999924611604027e-07,-4.999999997026178e-07,5.706867541604312e-10
dt500,0.7539600000000001,4.999893018177204e-07,-9.999893013955949e-07,-4.999999995778744e-07,8.201735325166143e-10
dt500,0.8796200000000001,4.999856884395599e-07,-9.999856878747805e-07,-4.999999994352206e-07,1.1054811224548074e-09
