t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tcross,run
16.75,200,0.6152796889181745,-1.351888220377064,-0.7366085314588894,0.0013478411771949167,0.00026832043087249166,-0.0024630068614008376,-0.0001327585862506385,0.0024811335101429894,-0.008337185007105249,0.4551261558788957,0.254168934017977,-0.0032160523263166335,-0.016248731038697478,-0.004449303295870402,6.8381588652697065,serial
17.0,200,0.6350841197426563,-1.3709876607807854,-0.735903541038129,0.002303627290949691,0.0003550800345909899,-0.0026525804788886777,5.170475387574993e-05,0.0026767402581348416,-0.008324811766311429,0.46323109821497027,0.2484631101267149,-0.003146553296071455,-0.016884058589093694,-0.004454640474400562,6.940220937885672,serial
17.25,200,0.6077465846117122,-1.34336121344364,-0.7356146288319277,0.002695318109221592,0.0003816580556484016,-0.002852404159120939,9.111490732081497e-05,0.0028792662754159835,-0.008322017260455034,0.45240742291031605,0.24602141304663735,-0.0030725581247178745,-0.017561701586933678,-0.004438170369036058,7.042283010501638,serial
17.5,200,0.5122115375011087,-1.2464325145985644,-0.7342209770974557,0.004584752257535308,0.00012836928936918208,-0.0028896596566140723,0.00029903793757608566,0.002907926287515876,-0.008327206573384104,0.41094205382316706,0.26582110302029127,-0.002996001271235038,-0.018264208653134745,-0.004370171026893519,7.144345083117604,serial
17.75,200,0.6591592677446616,-1.394124494596097,-0.7349652268514355,0.0035757405616712516,0.00012341496463892166,-0.0031758727159748304,0.00040523171125014616,0.0032039992979669787,-0.008310722943772237,0.47281234229776004,0.22467580102102386,-0.0029680284133197115,-0.019034593169777188,-0.004277443978408191,7.246407155733569,serial
18.0,200,0.6256547101789437,-1.359588145319097,-0.7339334351401533,0.004974585369898886,0.00012798050316489124,-0.0033205710149824775,0.0006892060970533473,0.0033937554300431856,-0.008295138323594221,0.46017958624676136,0.23509983131858378,-0.0029277941312756597,-0.0198342805824489,-0.004113646170254759,7.3484692283495345,serial
18.25,200,0.49263516469278146,-1.2270813989210065,-0.7344462342282251,0.004279361387994964,9.145740660447978e-05,-0.0034248118408771533,0.0006994256100631457,0.00349669798333333,-0.00829341262915695,0.40146901837642057,0.28244023674710134,-0.0028883535472819656,-0.02069903231746933,-0.003941450908148248,7.4505313009655,serial
18.5,200,0.6765339020014647,-1.4133031263446632,-0.7367692243431985,0.001129982859012119,0.00025258483683739607,-0.00334291595015033,0.000980103165321032,0.0034927765981009958,-0.008286753726986684,0.4786898786187769,0.22707760108884883,-0.002871594915514995,-0.021552814144339714,-0.003753254246458836,7.552593373581466,serial
18.75,200,0.5950191492092071,-1.3285966792313435,-0.7335775300221364,0.005457101386567453,0.0006760074422040167,-0.002993043171637878,0.0009902167800320497,0.003224255380806611,-0.008323096982679197,0.44785536386667324,0.26471219104891014,-0.002717337128469094,-0.02231983173515926,-0.0035333303165722587,7.654655446197432,serial
19.0,200,0.5666993070383656,-1.2998642225666956,-0.7331649155283301,0.006016500765482059,0.0006865058379153833,-0.003258190723811123,0.0011814897838475125,0.00353313107138085,-0.008291233758610335,0.43596807820386674,0.2819824425297932,-0.0025492478738126973,-0.023080508669948922,-0.0032793363430378792,7.756717518813398,serial
19.25,200,0.6294245435709428,-1.3627391620510927,-0.7333146184801499,0.005813541975796425,0.000697314888699023,-0.00306768379173864,0.0012480859548651396,0.003384471960414049,-0.008316730425679158,0.4618818928074102,0.2513287195766737,-0.0023932922914871703,-0.023883449984698806,-0.0029599401965457153,7.858779591429363,serial
19.5,200,0.6111927026278989,-1.344667430700061,-0.7334747280721621,0.005596474452298529,0.0010974295688118676,-0.0029615736268906257,0.0012376144196396168,0.003392190952422431,-0.00828658429778828,0.45453075509510904,0.25609074403801774,-0.002141937617678299,-0.024620983846745107,-0.0026325201018553026,7.960841664045329,serial
19.75,200,0.5714521049324633,-1.304242368419883,-0.7327902634874196,0.006524432799233551,0.0009883756611227003,-0.002809819253767494,0.0010865620699097582,0.0031705816214235567,-0.008305065686954674,0.43814870515576765,0.2655017793461017,-0.001894141696082435,-0.025345201959496154,-0.0023635508282902782,8.062903736661296,serial
20.0,200,0.7046426032432217,-1.4398806366376253,-0.7352380333944036,0.0032058848901159276,0.0016008906442858011,-0.0027291625236327333,0.00100435538967378,0.003319624780623552,-0.00829421290785903,0.48937570609233705,0.2500198092804928,-0.0015692880567907404,-0.02600050427159052,-0.0020821506736899264,8.16496580927726,serial
20.25,200,0.623325189031768,-1.3563865291712467,-0.7330613401394787,0.006156922415870116,0.001990800187818083,-0.0025155504908147093,0.0007744531578748359,0.0033001602011715953,-0.008288117197477003,0.4595483482224055,0.2398235116295588,-0.0011229013869256392,-0.026659856133873183,-0.0018579980698628378,8.267027881893227,serial
20.5,200,0.6160428292274177,-1.349023447356112,-0.7329806181286943,0.006266360749654618,0.001980895447143223,-0.0025657100199077882,0.0009978115737864772,0.0033915251164557546,-0.00829280312510314,0.4566583556681474,0.2640420211729201,-0.0006321489708624384,-0.02729603541102127,-0.001616203252788521,8.369089954509192,serial
20.75,200,0.5764804617209406,-1.3092429984397504,-0.7327625367188099,0.006562023182926846,0.002075821790500616,-0.002611941078402713,0.0008427766792696808,0.0034411545786386206,-0.008315640944564953,0.44031586375328585,0.23841644213533403,-0.00013006757840790882,-0.027943675914858745,-0.0013719133628749206,8.471152027125159,serial
21.0,200,0.6331933664235478,-1.3674211196156714,-0.7342277531921235,0.004575565611875641,0.0023896968309485736,-0.002711155106153401,0.0010156504242579926,0.0037540056922922686,-0.008282712728975388,0.463056594154048,0.2451386491783624,0.0004482949836910359,-0.02860339714541678,-0.001149794422350123,8.573214099741124,serial
21.25,200,0.4554971853343779,-1.1885589692697638,-0.7330617839353859,0.006156320742495562,0.002481638951312072,-0.002468825180301559,0.0009215136832728469,0.003619781364118473,-0.00831015561305491,0.383234822260632,0.2874991612533801,0.0010343959041233058,-0.029228329568698887,-0.0009277422854153065,8.67527617235709,serial
21.5,200,0.5437262223710213,-1.2771415206864778,-0.7334152983154565,0.005677045953031494,0.0025508716524996968,-0.0023230086081932316,0.0006843917042323839,0.0035173437685401886,-0.008296634199149767,0.4257368612358342,0.26770292591567935,0.001687556358466443,-0.029844415352661,-0.0007204294693481216,8.777338244973055,serial
21.75,200,0.6596099355552254,-1.394070256019493,-0.7344603204642677,0.004260264066374526,0.0028194060039909083,-0.0020467707808620034,0.0006142006972209806,0.00353773421008379,-0.008295982183961647,0.4731540126525748,0.2175715789376724,0.0023455221486808576,-0.03037725215163142,-0.0005747962779752069,8.879400317589022,serial
